"Sub.Num"	"H_D"	"H_D_n"	"H_D_sd"	"H_T"	"H_T_n"	"H_T_sd"	"L_D"	"L_D_n"	"L_D_sd"	"L_T"	"L_T_n"	"L_T_sd"
"30009"	1181.32	25	697.236970716078	NA	NA	NA	NA	NA	NA	NA	NA	NA
"30010"	1344.07142857143	28	607.484060365277	NA	NA	NA	NA	NA	NA	NA	NA	NA
"30011"	NA	NA	NA	NA	NA	NA	2108.25	4	779.062845132963	300	1	NA
"30014"	1345.21428571429	14	543.519892576503	400	1	NA	NA	NA	NA	NA	NA	NA
"30015"	NA	NA	NA	NA	NA	NA	1527.75	12	708.916090046821	NA	NA	NA
"30016"	1406.6	15	581.839791400642	NA	NA	NA	NA	NA	NA	NA	NA	NA
"30018"	NA	NA	NA	NA	NA	NA	1098.76923076923	26	518.448401111803	NA	NA	NA
"30019"	869.904761904762	21	345.691177897543	NA	NA	NA	NA	NA	NA	NA	NA	NA
"30020"	1202.35714285714	14	574.035861536255	NA	NA	NA	NA	NA	NA	NA	NA	NA
"30023"	NA	NA	NA	NA	NA	NA	1591.75	8	869.563889051781	567	1	NA
"30024"	NA	NA	NA	NA	NA	NA	2347.42857142857	7	981.850948827919	NA	NA	NA
"30025"	NA	NA	NA	NA	NA	NA	1300.14285714286	7	1019.85659589497	1022	3	428.675868226799
"30026"	1123.7619047619	21	342.673299917269	2233	1	NA	NA	NA	NA	NA	NA	NA
"30028"	NA	NA	NA	NA	NA	NA	1419.93333333333	15	672.576014468324	867	1	NA
