"Sub.Num"	"H"	"H_n"	"H_sd"	"L"	"L_n"	"L_sd"
"30009"	0.646556961922064	31	0.227376121875358	NA	NA	NA
"30010"	0.714361504636201	31	NA	NA	NA	NA
"30011"	NA	NA	NA	0.506681893045529	11	NA
"30013"	0.650620748814334	28	0.167959232247443	NA	NA	NA
"30014"	0.581248519292816	24	0.142142253849903	NA	NA	NA
"30015"	NA	NA	NA	0.674319983427168	17	0.187680781733545
"30016"	0.610598980683598	23	0.174604702956276	NA	NA	NA
"30018"	NA	NA	NA	0.608899530283999	29	0.162835594362428
"30019"	0.726921565923508	26	0.209786393717059	NA	NA	NA
"30020"	0.699201002153977	15	0.158481430702719	NA	NA	NA
"30023"	NA	NA	NA	0.491062418745084	23	0.132838918375926
"30024"	NA	NA	NA	0.553233479675951	24	0.246448623281506
"30025"	NA	NA	NA	0.480885417809621	17	0.236822977297275
"30026"	0.696994662088805	25	0.161615133807378	NA	NA	NA
"30028"	0.604286042735633	20	0.189996256430373	NA	NA	NA
"30029"	0.678562171932163	31	0.175319793702437	NA	NA	NA
"30030"	NA	NA	NA	0.54263107416733	28	0.219213939780611
"30031"	NA	NA	NA	0.739197002652249	24	0.186745277468237
"30032"	NA	NA	NA	0.543888611651442	16	0.302336341346756
"30034"	0.725122392216078	21	0.101444142453819	NA	NA	NA
"30035"	NA	NA	NA	0.583760637649295	24	0.192910939663061
"30036"	NA	NA	NA	0.705891302520217	11	0.13220069905435
"30037"	NA	NA	NA	0.649733586061683	17	0.142124397083765
