"Sub.Num"	"Condition"	"Months"	"Accuracy"	"n"	"sd"
"30025"	"van"	"13"	0.523594466286979	9	0.255529514131073
"30023"	"van"	"14"	0.441346782478752	3	0.132949618945438
"30011"	"van"	"16"	0.456730769230769	4	0.532099549864938
"30031"	"van"	"17"	1	1	NA
"30015"	"van"	"21"	0.645490740341239	7	0.258964286211513
"30024"	"van"	"21"	0.223529411764706	2	0.316118325706927
"30028"	"van"	"27"	0.485889038981052	4	0.317843382458782
"30019"	"van"	"29"	0.481827731092437	2	0.10056959892086
"30014"	"van"	"33"	0.431527093596059	4	0.244813957258105
"30026"	"van"	"36"	0.762950296397629	3	0.0726222580443809
"30009"	"van"	"39"	0.630813953488372	2	0.127443664051064
"30010"	"van"	"44"	0.644962812711291	2	0.0469492129225956
