"Condition"	"group"	"dodg"	"mean"	"se"
"van"	"13"	"D"	1389	NA
"van"	"14"	"D"	1743	NA
"van"	"16"	"D"	1794.625	313.625
"van"	"17"	"D"	1166.6	NA
"van"	"18"	"D"	1092.04	NA
"van"	"20"	"D"	1531.7619047619	NA
"van"	"21"	"D"	1353.89379084967	90.694428812571
"van"	"24"	"D"	1322	328
"van"	"25"	"D"	1620.57142857143	NA
"van"	"27"	"D"	1499.92307692308	NA
"van"	"29"	"D"	869.904761904762	NA
"van"	"31"	"D"	1597.66666666667	NA
"van"	"33"	"D"	1372.16666666667	NA
"van"	"35"	"D"	1302.58571428571	187.985714285714
"van"	"36"	"D"	1146	NA
"van"	"39"	"D"	1206.91666666667	NA
"van"	"42"	"D"	1043.84210526316	NA
"van"	"44"	"D"	1342.72	NA
