"Sub.Num"	"H"	"H_n"	"H_sd"	"L"	"L_n"	"L_sd"
"30009"	0.433456361267911	2	0.0790620912529466	NA	NA	NA
"30010"	0.412414965986395	2	0.00601281276519174	NA	NA	NA
"30011"	NA	NA	NA	0.454081632653061	4	0.529662939402644
"30014"	0.490368625277162	4	0.160423076144464	NA	NA	NA
"30015"	NA	NA	NA	0.529781555479335	7	0.259163508660564
"30017"	0.402173913043478	1	NA	NA	NA	NA
"30019"	0.466666666666667	2	0.164991582276861	NA	NA	NA
"30023"	NA	NA	NA	0.333404255319149	3	0.164919970440417
"30024"	NA	NA	NA	0.201086956521739	2	0.284379901129372
"30025"	NA	NA	NA	0.599601164342806	9	0.266024143115328
"30026"	0.775602836879433	3	0.290997047624665	NA	NA	NA
"30028"	0.486195652173913	4	0.28276684228627	NA	NA	NA
"30031"	NA	NA	NA	1	1	NA
"30041"	NA	NA	NA	0.71875	3	0.255792274121014
"30042"	0.691836734693878	2	0.0115446005091681	NA	NA	NA
"30048"	NA	NA	NA	0.688509778911565	4	0.133214380770945
"30050"	NA	NA	NA	0.486275510204082	4	0.353322830805329
