"Sub.Num"	"H_H"	"H_H_n"	"H_H_sd"	"L_L"	"L_L_n"	"L_L_sd"
"30009"	0.625598085251163	30	NA	NA	NA	NA
"30010"	0.658370981348882	31	NA	NA	NA	NA
"30011"	NA	NA	NA	0.489118575358829	11	NA
"30013"	0.606577380952381	28	0.144891240836276	NA	NA	NA
"30014"	0.587336392051407	24	0.13224200512837	NA	NA	NA
"30015"	NA	NA	NA	0.582006514446667	17	0.208936693250611
"30016"	0.59679347826087	23	0.136269600271149	NA	NA	NA
"30017"	0.62422901070524	13	0.166137255533386	NA	NA	NA
"30018"	NA	NA	NA	0.602281834070767	29	0.191265612326459
"30019"	0.713285502328021	26	0.206400122639225	NA	NA	NA
"30020"	0.666526192297904	15	0.168851800867086	NA	NA	NA
"30023"	NA	NA	NA	0.473707606572908	23	0.148111767816375
"30024"	NA	NA	NA	0.554632760053956	24	0.226924670175642
"30025"	NA	NA	NA	0.511651596808936	17	0.259932756482288
"30026"	0.696078886387855	25	0.148011656018569	NA	NA	NA
"30028"	0.558284096146042	20	0.186744530660232	NA	NA	NA
"30029"	0.673608061971867	31	0.139952753334249	NA	NA	NA
"30030"	0.713760331979321	26	0.175808094808022	NA	NA	NA
"30031"	NA	NA	NA	0.690434027777778	24	0.21164503623811
"30036"	0.697697040278562	14	0.149748590268155	NA	NA	NA
"30037"	NA	NA	NA	0.652742558170354	17	0.183483691952176
"30038"	NA	NA	NA	0.578043536324786	24	0.212043670446942
"30039"	0.706285289604306	11	0.167606713539307	NA	NA	NA
"30041"	NA	NA	NA	0.629628032783676	21	0.179863457239215
"30042"	0.607194262320313	13	0.204780578599648	NA	NA	NA
"30043"	0.52510263257811	16	0.285348841006139	NA	NA	NA
"30046"	NA	NA	NA	0.595452649144764	17	0.162199052552277
"30048"	NA	NA	NA	0.657601791119024	27	0.157747464526802
"30050"	NA	NA	NA	0.547268456318698	25	NA
"30058"	NA	NA	NA	0.536354946437129	28	0.252076124761383
