"Sub.Num"	"H_H"	"H_H_n"	"H_H_sd"	"L_L"	"L_L_n"	"L_L_sd"
"30004"	0.709143622205911	40	0.13274842950927	NA	NA	NA
"30005"	0.850725437575411	36	0.0955958750915434	NA	NA	NA
"30006"	0.645797573680637	36	0.138922888382853	NA	NA	NA
"30007"	0.857950621011767	26	0.0782594591053221	NA	NA	NA
"30009"	0.636272869549506	25	0.195639297328229	NA	NA	NA
"30010"	0.6538520628133	28	0.132207307885236	NA	NA	NA
"30011"	NA	NA	NA	0.500756255939183	7	0.0571526863015977
"30013"	NA	NA	NA	0.578423120089787	27	0.134745602845821
"30014"	NA	NA	NA	0.599784753036786	18	0.122215133995959
"30015"	NA	NA	NA	0.587267907491485	9	0.19322925520774
"30016"	NA	NA	NA	0.587568228872577	23	0.125705100373803
"30017"	NA	NA	NA	0.644427067100529	12	0.160825217672527
"30018"	NA	NA	NA	0.595086068369677	29	0.204882915409429
"30019"	NA	NA	NA	0.729220779220779	24	0.192240086402101
"30020"	0.657772361093839	15	0.166268231497903	NA	NA	NA
"30021"	0.80501443001443	36	0.0810190505175822	NA	NA	NA
"30022"	0.722601840776183	22	0.117671203047003	NA	NA	NA
"30023"	NA	NA	NA	0.513621478928074	19	0.127250662796783
"30024"	NA	NA	NA	0.586181172829248	22	0.186455386289046
"30025"	NA	NA	NA	0.409131493506493	8	0.230155349967246
"30026"	0.673165404373131	21	0.126553463546704	NA	NA	NA
"30027"	0.764932378580065	32	0.0674673025058309	NA	NA	NA
"30028"	NA	NA	NA	0.567571245685864	14	0.176380552174307
"30029"	0.65302345608047	31	0.144571227636874	NA	NA	NA
"30030"	NA	NA	NA	0.70395115752234	24	0.175717706891668
"30031"	NA	NA	NA	0.65036231884058	23	0.202224914457286
"30036"	0.68958719851577	21	0.167856053076507	NA	NA	NA
"30037"	NA	NA	NA	0.658993641544691	17	0.191838856319649
"30038"	NA	NA	NA	0.571969696969697	24	0.19744103431501
"30039"	NA	NA	NA	0.679620785575254	11	0.200950241423943
"30041"	NA	NA	NA	0.632105802694038	17	0.171545441258821
"30042"	0.57311753902663	11	0.216222949963372	NA	NA	NA
"30043"	NA	NA	NA	0.526858839358839	16	0.277125613726903
"30044"	0.63357302008472	32	0.0779202313402563	NA	NA	NA
"30046"	NA	NA	NA	0.583367153679654	16	0.156587491505554
"30048"	NA	NA	NA	0.629812880356359	23	0.158811899316457
"30050"	NA	NA	NA	0.517389658862527	18	0.245180865701392
"30058"	NA	NA	NA	0.530602266118631	27	0.257686877857379
"30059"	0.836275700503343	36	0.102665256534646	NA	NA	NA
"30060"	0.910727248887818	36	0.0568071530348894	NA	NA	NA
