"Sub.Num"	"< 24 Months_< 24 Months"	"< 24 Months_< 24 Months_n"	"< 24 Months_< 24 Months_sd"	"> 24 Months _> 24 Months "	"> 24 Months _> 24 Months _n"	"> 24 Months _> 24 Months _sd"	"Adults_Adults"	"Adults_Adults_n"	"Adults_Adults_sd"
"30004"	NA	NA	NA	NA	NA	NA	0.739517666779194	40	0.109093054518286
"30005"	NA	NA	NA	NA	NA	NA	0.903377470633548	34	0.0790636985737711
"30006"	NA	NA	NA	NA	NA	NA	0.674433990747035	34	0.161262111595686
"30007"	NA	NA	NA	NA	NA	NA	0.699998800994982	25	0.072809876282215
"30009"	NA	NA	NA	0.643654865253244	24	0.201436524565973	NA	NA	NA
"30010"	NA	NA	NA	0.738875909528438	24	0.125134744529844	NA	NA	NA
"30011"	0.53969474969475	6	0.121770505517511	NA	NA	NA	NA	NA	NA
"30013"	NA	NA	NA	0.644049010606028	27	0.16737778595516	NA	NA	NA
"30014"	NA	NA	NA	0.585905981224902	16	0.10636993667536	NA	NA	NA
"30015"	0.705917077132964	9	0.117044200324853	NA	NA	NA	NA	NA	NA
"30016"	NA	NA	NA	0.603529735715917	22	0.176132834932399	NA	NA	NA
"30017"	NA	NA	NA	0.609027339455743	9	0.17882044963267	NA	NA	NA
"30018"	0.617266598112048	27	0.158207483490382	NA	NA	NA	NA	NA	NA
"30019"	NA	NA	NA	0.74342740175923	24	0.205546858293523	NA	NA	NA
"30020"	NA	NA	NA	0.655403079169527	8	0.189024362516696	NA	NA	NA
"30021"	NA	NA	NA	NA	NA	NA	0.88588545752646	36	0.0536782943927101
"30022"	NA	NA	NA	NA	NA	NA	0.658034661582054	22	0.0959925153677971
"30023"	0.497736336730489	15	0.0786211541591754	NA	NA	NA	NA	NA	NA
"30024"	0.570630261009889	21	0.218739134826787	NA	NA	NA	NA	NA	NA
"30025"	0.389948428764218	7	0.170575534165077	NA	NA	NA	NA	NA	NA
"30026"	NA	NA	NA	0.698795218127202	13	0.15537057800016	NA	NA	NA
"30027"	NA	NA	NA	NA	NA	NA	0.665519651969762	31	0.0754886821217864
"30028"	NA	NA	NA	0.641191055668231	12	0.147368693754603	NA	NA	NA
"30029"	NA	NA	NA	0.669234996792746	28	0.179902317601509	NA	NA	NA
"30030"	NA	NA	NA	0.691250742016391	23	0.206854752552433	NA	NA	NA
"30031"	0.718910455573135	22	0.18039794946189	NA	NA	NA	NA	NA	NA
"30036"	NA	NA	NA	0.7315741412519	19	0.0995316053104974	NA	NA	NA
"30037"	0.631550999102369	15	0.139222495389335	NA	NA	NA	NA	NA	NA
"30038"	0.585125727078192	22	0.190865274504459	NA	NA	NA	NA	NA	NA
"30039"	NA	NA	NA	0.705266921433341	11	0.132329979570116	NA	NA	NA
"30041"	0.662978898041263	15	0.144251391559652	NA	NA	NA	NA	NA	NA
"30042"	NA	NA	NA	0.626119033991563	10	0.236430716605239	NA	NA	NA
"30043"	NA	NA	NA	0.596851633934865	10	0.268542969987039	NA	NA	NA
"30044"	NA	NA	NA	NA	NA	NA	0.570091298615879	32	0.0386564151255736
"30046"	0.666387308745736	15	0.187343608428004	NA	NA	NA	NA	NA	NA
"30048"	0.701986081573024	22	0.157493119866279	NA	NA	NA	NA	NA	NA
"30050"	0.531362001219596	16	0.132462284335489	NA	NA	NA	NA	NA	NA
"30058"	0.556783474602135	24	0.222329526289722	NA	NA	NA	NA	NA	NA
"30059"	NA	NA	NA	NA	NA	NA	0.768566984784515	36	0.0783136023437034
"30060"	NA	NA	NA	NA	NA	NA	0.847442079868139	35	0.0672800440364885
