"Sub.Num"	"vanilla_D"	"vanilla_D_n"	"vanilla_D_sd"
"30004"	1103.69444444444	36	420.996560518318
"30005"	705.852941176471	34	332.634309383392
"30006"	1402.1935483871	31	715.618027505123
"30007"	485.222222222222	18	163.375984827332
"30009"	962.347826086957	23	561.428341472619
"30010"	1211.16666666667	24	523.541839752101
"30011"	1953.2	5	758.555667040989
"30013"	1626.04347826087	23	797.27761095669
"30014"	1469.07142857143	14	698.911732545756
"30015"	1512.5	8	812.852648744795
"30016"	1588.77777777778	18	669.537993084042
"30017"	1103.77777777778	9	579.7011682276
"30018"	871.592592592593	27	439.810209002724
"30019"	934.826086956522	23	573.269701098557
"30020"	1404.25	8	554.669979099541
"30021"	834.333333333333	36	196.560132565802
"30022"	787.190476190476	21	409.224219596986
"30023"	1433.5	6	699.590380151128
"30024"	1063.10526315789	19	519.159137958984
"30025"	766.666666666667	3	520.982085424569
"30026"	1192.15384615385	13	569.876572331507
"30027"	712.903225806452	31	212.164928744709
"30028"	1199.9	10	371.845681850833
"30029"	1092.55555555556	27	344.280222776261
"30030"	1095.69565217391	23	587.256830509648
"30031"	1109.09090909091	22	593.593889479757
"30036"	942.052631578947	19	532.665151612803
"30037"	1061.46153846154	13	481.466097003831
"30038"	1463.05555555556	18	828.819534193927
"30039"	706.090909090909	11	193.710327316565
"30041"	1293.33333333333	15	563.767133622013
"30042"	1548.11111111111	9	771.865669084402
"30043"	1360	10	1098.12527113764
"30044"	507.653846153846	26	176.425155192267
"30046"	1149.85714285714	14	534.781746587817
"30048"	1301.5	22	556.729715562656
"30050"	1223.15384615385	13	833.949123763339
"30058"	888.952380952381	21	322.810079797778
"30059"	693.147058823529	34	226.414360337071
"30060"	563.5	32	142.975747999893
