"Sub.Num"	"< 24 Months_D"	"< 24 Months_D_n"	"< 24 Months_D_sd"	"> 24 Months_D"	"> 24 Months_D_n"	"> 24 Months_D_sd"	"Adults_D"	"Adults_D_n"	"Adults_D_sd"
"30004"	NA	NA	NA	NA	NA	NA	991.65625	32	278.442744375143
"30005"	NA	NA	NA	NA	NA	NA	668.617647058824	34	201.523292090274
"30006"	NA	NA	NA	NA	NA	NA	1114.72	25	376.410073368571
"30007"	NA	NA	NA	NA	NA	NA	485.222222222222	18	163.375984827332
"30011"	1477.66666666667	3	134.89378537699	NA	NA	NA	NA	NA	NA
"30013"	NA	NA	NA	1160	15	307.439657261621	NA	NA	NA
"30014"	NA	NA	NA	1197.25	12	338.651369405175	NA	NA	NA
"30015"	1238.14285714286	7	261.369105909267	NA	NA	NA	NA	NA	NA
"30016"	NA	NA	NA	1214.14285714286	14	404.578576021796	NA	NA	NA
"30017"	NA	NA	NA	940.777777777778	9	385.438314707353	NA	NA	NA
"30018"	813.592592592593	27	219.059047055505	NA	NA	NA	NA	NA	NA
"30019"	NA	NA	NA	830.363636363636	22	285.220306739586	NA	NA	NA
"30020"	NA	NA	NA	1213.4	10	364.743197332041	NA	NA	NA
"30021"	NA	NA	NA	NA	NA	NA	834.333333333333	36	196.560132565802
"30022"	NA	NA	NA	NA	NA	NA	729.9	20	322.062906571796
"30024"	918.444444444444	18	391.326736090297	NA	NA	NA	NA	NA	NA
"30026"	NA	NA	NA	1028.86666666667	15	324.884785438659	NA	NA	NA
"30027"	NA	NA	NA	NA	NA	NA	712.903225806452	31	212.164928744709
"30028"	NA	NA	NA	1073.3	10	303.808071723653	NA	NA	NA
"30029"	NA	NA	NA	1086.63333333333	30	330.092200634217	NA	NA	NA
"30030"	NA	NA	NA	987.909090909091	22	285.229549843448	NA	NA	NA
"30031"	987.863636363636	22	345.21867403203	NA	NA	NA	NA	NA	NA
"30037"	853.769230769231	13	286.33289304763	NA	NA	NA	NA	NA	NA
"30038"	1028.30769230769	13	375.953761477699	NA	NA	NA	NA	NA	NA
"30039"	NA	NA	NA	706.090909090909	11	193.710327316565	NA	NA	NA
"30041"	1051.13333333333	15	370.405543515033	NA	NA	NA	NA	NA	NA
"30043"	NA	NA	NA	772.166666666667	12	390.267235559834	NA	NA	NA
"30044"	NA	NA	NA	NA	NA	NA	507.653846153846	26	176.425155192267
"30046"	1028.07692307692	13	418.205782986172	NA	NA	NA	NA	NA	NA
"30048"	1075.88888888889	18	292.134716886675	NA	NA	NA	NA	NA	NA
"30050"	869.818181818182	11	337.062848199507	NA	NA	NA	NA	NA	NA
"30058"	901.521739130435	23	314.622843412296	NA	NA	NA	NA	NA	NA
"30059"	NA	NA	NA	NA	NA	NA	693.147058823529	34	226.414360337071
"30060"	NA	NA	NA	NA	NA	NA	570.666666666667	33	146.622531238097
