"Sub.Num"	"< 24 Months_D"	"< 24 Months_D_n"	"< 24 Months_D_sd"	"> 24 Months _D"	"> 24 Months _D_n"	"> 24 Months _D_sd"
"30013"	NA	NA	NA	2064.4	15	819.741143811352
"30017"	NA	NA	NA	1210.1	20	499.526396752596
"30024"	NA	NA	NA	1576.92307692308	26	671.087351874668
"30025"	NA	NA	NA	1718.18181818182	11	860.132294264297
"30030"	NA	NA	NA	1655.6	15	799.433710286761
"30031"	1443.75	16	671.666732837052	NA	NA	NA
"30041"	1066.72727272727	11	480.765658280433	NA	NA	NA
"30048"	1555.66666666667	9	906.444565321013	NA	NA	NA
"30049"	NA	NA	NA	1327.77777777778	18	653.055222919935
"30051"	1355.55555555556	9	480.566881690549	NA	NA	NA
"30052"	NA	NA	NA	1435.29411764706	17	753.413628485864
"30057"	NA	NA	NA	1066.8	5	769.715012196072
