"Sub.Num"	"vanilla-2_D"	"vanilla-2_D_n"	"vanilla-2_D_sd"
"30025"	1166.625	8	374.114931729351
"30030"	1126	9	445.933010664158
"30049"	1104.125	16	296.580034167283
"30050"	1189	3	707.504770301939
"30051"	1162	7	328.493531138743
"30052"	1152.42857142857	14	339.414589751625
"30054"	1450	4	291.408075843252
"30057"	818.5	18	255.48322150503
"30065"	1141.58333333333	12	394.951195680804
"30069"	713.2	10	445.345259321349
"30070"	1066.7	20	418.62218866432
"30072"	1109.82352941176	17	437.258252537062
"30074"	591	15	292.597480703928
"30075"	727.411764705882	17	427.704199597036
"30076"	1195.8125	16	425.640101298425
"30077"	1033.25	4	600.734203565382
"30078"	605.5	24	298.232182674185
"30079"	1072.04	25	509.925197128625
"30080"	1209.09090909091	22	351.717271343104
"30081"	660	20	303.079805366594
"30083"	1075.53333333333	15	446.23998454814
"30085"	1012.5	8	385.872665896037
"30086"	1077.66666666667	6	267.110963209425
"30088"	1486.8	5	210.288373430392
