"Sub.Num"	"< 24 Months_D"	"< 24 Months_D_n"	"< 24 Months_D_sd"	"> 24 Months_D"	"> 24 Months_D_n"	"> 24 Months_D_sd"	"Adults_D"	"Adults_D_n"	"Adults_D_sd"
"30025"	NA	NA	NA	1166.625	8	374.114931729351	NA	NA	NA
"30030"	NA	NA	NA	1126	9	445.933010664158	NA	NA	NA
"30049"	NA	NA	NA	1104.125	16	296.580034167283	NA	NA	NA
"30051"	1162	7	328.493531138743	NA	NA	NA	NA	NA	NA
"30052"	NA	NA	NA	1152.42857142857	14	339.414589751625	NA	NA	NA
"30054"	NA	NA	NA	1450	4	291.408075843252	NA	NA	NA
"30057"	NA	NA	NA	809.5	14	244.750658048931	NA	NA	NA
"30065"	NA	NA	NA	NA	NA	NA	1141.58333333333	12	394.951195680804
"30069"	NA	NA	NA	NA	NA	NA	713.2	10	445.345259321349
"30072"	NA	NA	NA	NA	NA	NA	1109.82352941176	17	437.258252537062
"30074"	NA	NA	NA	NA	NA	NA	591	15	292.597480703928
"30075"	NA	NA	NA	NA	NA	NA	727.411764705882	17	427.704199597036
"30076"	NA	NA	NA	NA	NA	NA	1195.8125	16	425.640101298425
"30078"	NA	NA	NA	NA	NA	NA	605.5	24	298.232182674185
"30079"	NA	NA	NA	NA	NA	NA	1072.04	25	509.925197128625
"30081"	NA	NA	NA	NA	NA	NA	660	20	303.079805366594
"30085"	1012.5	8	385.872665896037	NA	NA	NA	NA	NA	NA
