"Sub.Num"	"vanilla_C-D_D"	"vanilla_C-D_D_n"	"vanilla_C-D_D_sd"	"vanilla_C-T_D"	"vanilla_C-T_D_n"	"vanilla_C-T_D_sd"
"30025"	NA	NA	NA	1166.625	8	374.114931729351
"30030"	NA	NA	NA	1126	9	445.933010664158
"30049"	567	1	NA	1139.93333333333	15	268.814717567607
"30050"	900	2	707.106781186548	1767	1	NA
"30051"	1011.33333333333	3	505.861970633624	1275	4	74.1125270562721
"30052"	1100	3	290.325679194934	1166.72727272727	11	363.119289189955
"30054"	1667	1	NA	1377.66666666667	3	309.814998560969
"30057"	733.5	4	121.777118814113	839.9	10	279.265484997898
"30065"	1233	1	NA	1133.27272727273	11	413.12639492269
"30069"	300	1	NA	759.111111111111	9	446.554432416823
"30072"	600	1	NA	1141.6875	16	430.732046443416
"30074"	NA	NA	NA	591	15	292.597480703928
"30075"	NA	NA	NA	727.411764705882	17	427.704199597036
"30076"	1667	1	NA	1164.4	15	420.944821630036
"30078"	NA	NA	NA	605.5	24	298.232182674185
"30079"	1133.5	2	471.640223051427	1066.69565217391	23	522.664192103792
"30081"	NA	NA	NA	660	20	303.079805366594
"30085"	600	2	188.090403795622	1150	6	332.612687671412
