"Sub.Num"	"< 24 Months_< 24 Months"	"< 24 Months_< 24 Months_n"	"< 24 Months_< 24 Months_sd"	">= 24 Months _>= 24 Months "	">= 24 Months _>= 24 Months _n"	">= 24 Months _>= 24 Months _sd"	"Adults_Adults"	"Adults_Adults_n"	"Adults_Adults_sd"
"1"	NA	NA	NA	NA	NA	NA	0.88588545752646	36	0.0536782943927101
"10"	NA	NA	NA	NA	NA	NA	0.695622189285626	26	0.0747479092836615
"11"	NA	NA	NA	NA	NA	NA	0.658034661582054	22	0.0959925153677971
"2"	NA	NA	NA	NA	NA	NA	0.768566984784515	36	0.0783136023437034
"30004"	NA	NA	NA	NA	NA	NA	0.739517666779194	40	0.109093054518286
"30009"	NA	NA	NA	0.646033522230654	31	0.227474713674638	NA	NA	NA
"30010"	NA	NA	NA	0.714859707870372	31	NA	NA	NA	NA
"30011"	0.505917415917416	11	NA	NA	NA	NA	NA	NA	NA
"30013"	NA	NA	NA	0.650963772286611	28	0.16827509822285	NA	NA	NA
"30014"	NA	NA	NA	0.580515649642759	24	0.143326891711869	NA	NA	NA
"30015"	0.676084453791869	17	0.187217108122302	NA	NA	NA	NA	NA	NA
"30016"	NA	NA	NA	0.610622645757254	23	0.175413126521387	NA	NA	NA
"30018"	0.609459761022766	29	0.162016421959289	NA	NA	NA	NA	NA	NA
"30019"	NA	NA	NA	0.725651103648196	26	0.209077786805892	NA	NA	NA
"30020"	NA	NA	NA	0.699997238677005	15	0.157763526873215	NA	NA	NA
"30023"	0.492402460759247	23	0.132011521411941	NA	NA	NA	NA	NA	NA
"30024"	0.554126039787162	24	0.245438144275644	NA	NA	NA	NA	NA	NA
"30025"	0.482299940204569	17	0.236367006478857	NA	NA	NA	NA	NA	NA
"30026"	NA	NA	NA	0.695740006759433	25	0.162562797821182	NA	NA	NA
"30028"	NA	NA	NA	0.606490558868302	20	0.189023765030064	NA	NA	NA
"30029"	NA	NA	NA	0.677849811388589	31	0.17664682020283	NA	NA	NA
"30030"	0.542365355852779	28	0.217977997644619	NA	NA	NA	NA	NA	NA
"30031"	0.739225131539055	24	0.185934248294767	NA	NA	NA	NA	NA	NA
"30032"	NA	NA	NA	0.546530633908144	16	0.301520592914407	NA	NA	NA
"30034"	NA	NA	NA	0.720804087426292	21	0.102073485714295	NA	NA	NA
"30035"	0.584060610017036	24	0.192960189294755	NA	NA	NA	NA	NA	NA
"30036"	NA	NA	NA	0.705266921433341	11	0.132329979570116	NA	NA	NA
"30037"	0.649766888888914	17	0.140493401449887	NA	NA	NA	NA	NA	NA
"30038"	NA	NA	NA	NA	NA	NA	0.670503412845707	32	0.0794325445904186
"30039"	NA	NA	NA	NA	NA	NA	0.570091298615879	32	0.0386564151255736
"5"	NA	NA	NA	NA	NA	NA	0.897954143140439	36	0.0801060761549032
"6"	NA	NA	NA	NA	NA	NA	0.677845065335162	36	0.158673315512667
"9"	NA	NA	NA	NA	NA	NA	0.846777839087488	36	0.0664315929563764
