"Sub.Num"	"H"	"H_n"	"H_sd"	"L"	"L_n"	"L_sd"
"30009"	0.654697739556935	31	0.228197938013392	NA	NA	NA
"30010"	0.699404204775442	31	NA	NA	NA	NA
"30011"	NA	NA	NA	0.504373936444911	11	NA
"30013"	0.634926484475334	28	0.158224537683099	NA	NA	NA
"30014"	0.593580264934831	24	0.130514105953615	NA	NA	NA
"30015"	NA	NA	NA	0.63699324296255	17	0.189193475170623
"30016"	0.606319395745676	23	0.159886763485704	NA	NA	NA
"30018"	NA	NA	NA	0.605593898814654	29	0.171228223169785
"30019"	0.729636450578991	26	0.206449809376528	NA	NA	NA
"30020"	0.688193704552285	15	0.163509038727364	NA	NA	NA
"30023"	NA	NA	NA	0.474898876989145	23	0.14222399705232
"30024"	NA	NA	NA	0.555002733968077	24	0.238068777229712
"30025"	NA	NA	NA	0.484641253779205	17	0.244199439686712
"30026"	0.709146786731059	25	0.152415969525619	NA	NA	NA
"30028"	0.578870032817864	20	0.185086112005014	NA	NA	NA
"30029"	0.69080108069692	31	0.152905247915006	NA	NA	NA
"30030"	NA	NA	NA	0.541542863840804	28	0.241112267949448
"30031"	NA	NA	NA	0.728275509632616	24	0.210147224129948
"30032"	NA	NA	NA	0.520027443152704	16	0.308493729092067
"30034"	0.729393645010862	21	0.112928116850567	NA	NA	NA
"30035"	NA	NA	NA	0.583137430881711	24	0.200715518837348
"30036"	NA	NA	NA	0.716481019280422	11	0.125108164026277
"30037"	NA	NA	NA	0.649214710731005	17	0.165728193409145
