"Sub.Num"	"van_D"	"van_D_n"	"van_D_sd"
"30009"	1181.32	25	697.236970716078
"30010"	1344.07142857143	28	607.484060365277
"30011"	2108.25	4	779.062845132963
"30013"	1620.57142857143	21	733.946085991919
"30014"	1345.21428571429	14	543.519892576503
"30015"	1527.75	12	708.916090046821
"30016"	1552	16	808.842959624013
"30018"	1098.76923076923	26	518.448401111803
"30019"	869.904761904762	21	345.691177897543
"30020"	1202.35714285714	14	574.035861536255
"30023"	1591.75	8	869.563889051781
"30024"	1279.61111111111	18	742.739455457168
"30025"	1300.14285714286	7	1019.85659589497
"30026"	1123.7619047619	21	342.673299917269
"30028"	1419.93333333333	15	672.576014468324
"30029"	1117.82142857143	28	365.399533090929
"30030"	1551.41666666667	24	859.079331087327
"30031"	1141.19047619048	21	442.443625679885
"30032"	1536.08333333333	12	1006.01820499824
"30034"	1006.33333333333	21	486.080891759112
"30035"	1455.6	15	824.618595819563
"30036"	994	11	374.394978598805
"30037"	1135.64285714286	14	657.165194914181
