"window","zbeta0","zbeta1","zbeta1_prior","zbeta0_prior","beta1","beta1_prior","beta0","beta0_prior"
"600_2200",-0.0132195175715027,-0.264702371802151,-0.451214744068023,-14.6636141080736,-452.23578837234,-770.886388813115,1501.83964864462,-1694.75730875192
"600_2200",-0.0170032077906982,-0.232146231285543,-0.973350801442555,-6.84368404192594,-396.614632533611,-1662.93964068533,1465.1499313906,695.336191219026
"600_2200",-0.1374694824748,-0.340923958149717,-0.0383186596114848,3.21854049199901,-582.458003451872,-65.4662408983764,1556.8317088316,2003.22214791464
"600_2200",-0.441443974046314,-0.336720635561751,-0.0274910878507378,0.681368066618228,-575.27675724161,-46.9676705302973,1481.62659107035,1402.1917420046
"600_2200",-0.0739431873269611,-0.373511079049814,-0.0278236339470017,0.439005550809634,-638.132088314457,-47.5358152166867,1607.42747395746,1346.28202679973
"600_2200",0.0404669215704861,-0.0887133391679873,-1.63329038189702,1.8528334177549,-151.563987147665,-2790.42593562494,1320.72067619481,3440.55079031616
"600_2200",-0.12516045990237,-0.419073976832103,-0.251264372501879,5.96992403295649,-715.974885335191,-429.277383555901,1645.65340550243,2876.31770279214
"600_2200",-0.0595672818622178,-0.33182848901937,-0.82985136170392,-15.1791508590838,-566.918676679791,-1417.77530075378,1564.91540684494,-1397.96929771204
"600_2200",-0.0221385058990885,-0.6180372462026,-0.373207254708861,6.63496660202795,-1055.89745712143,-637.613013855764,1888.43061893353,3164.87260860993
"600_2200",-0.0790511472441584,-0.30668531518114,-0.239675057751789,2.77479506954793,-523.962344382877,-409.47739892781,1532.73430619349,2121.67478016352
"600_2200",-0.309483307551284,-0.364997342680832,-0.259196601775413,-5.73228057037064,-623.586633913698,-442.829351128553,1543.37113955693,167.842587692682
"600_2200",0.083896438204516,-0.254300196088745,-0.0698318549550208,-0.809798430261496,-434.463993950884,-119.305557272042,1512.94734265353,1102.52351401007
"600_2200",-0.199493479972379,-0.074032627232385,-0.0399944492212463,-25.4099491140006,-126.48244635578,-68.3292754460348,1248.85441122784,-4642.34384377365
"600_2200",-0.107023806588662,-0.307156053911555,-0.293258706071881,-5.05248751300002,-524.766586896523,-501.023399354338,1526.75698178639,363.155238462297
"600_2200",0.0690049553661698,-0.447596199004538,-1.83049518918385,-0.538741840364885,-764.704216857477,-3127.34422950724,1722.11168505456,3102.1592303419
"600_2200",0.151347389118934,-0.258078384280638,-1.73294284491637,9.7457164705842,-440.918911237598,-2960.67907642599,1532.76509482217,5382.85940139636
"600_2200",-0.0982565828258565,-0.233378165538738,-0.927759843386197,-4.33823882862725,-398.719353977636,-1585.04890355707,1447.63836041695,1226.94032385
"600_2200",-0.0501149734509913,-0.233976322215248,-0.626315761760607,0.382676006019939,-399.741286098342,-1070.04104406567,1459.47459174416,1991.53298372507
"600_2200",0.262378279014383,-0.0503559570562296,-0.484257289207587,-7.00616462086288,-86.0315900591513,-827.338551856777,1330.05509602601,119.614968936975
"600_2200",0.112243370754901,-0.258965574614942,-1.0077213752405,-3.55859031945495,-442.43464839378,-1721.66069948242,1524.66120699727,1495.92750470784
"600_2200",-0.150264608152433,-0.132961114166431,-0.56566006033542,-18.5363057927386,-227.15993770114,-966.412660358549,1325.10539996517,-2468.09151782028
"600_2200",-0.0434351430110684,-0.483617186210341,-0.331751281884292,-0.954763792245593,-826.24495574871,-566.786770685287,1735.62601813642,1356.96978929025
"600_2200",-0.293655713775807,-0.360414249398227,-0.0591633368641746,-0.503362345620159,-615.756561256124,-101.07872516347,1542.00491813913,1161.941449236
"600_2200",-0.0369370511163816,-0.207660881703862,-1.34899862799699,-14.2142544220095,-354.782172566382,-2304.72229580705,1433.58794252968,-602.872062011394
"600_2200",-0.201466294984137,-0.174577958634477,-2.04342616342341,-7.51447949056951,-298.261025082568,-3491.13019163716,1358.9943637467,1716.64382881301
"600_2200",-0.134922294652107,-0.352043618231648,-0.592854276424945,-2.78822212689268,-601.455597653042,-1012.8731346969,1569.65457800304,1218.45736443999
"600_2200",-0.268309114192382,-0.484275775643238,-0.0390009237658091,6.89103691352333,-827.370135358442,-66.6318680350296,1684.13570777578,2856.71013723625
"600_2200",0.152754227721482,-0.243386844045688,-1.29731365140305,11.3882367503322,-415.818870632285,-2216.42011710789,1516.93133014131,5285.06121291369
