"Sub.Num"	"Vanilla_< 26.5 Months"	"Vanilla_< 26.5 Months_n"	"Vanilla_< 26.5 Months_sd"	"Vanilla_> 26.5 Months"	"Vanilla_> 26.5 Months_n"	"Vanilla_> 26.5 Months_sd"	"Vanilla_Adults"	"Vanilla_Adults_n"	"Vanilla_Adults_sd"
"30004"	NA	NA	NA	NA	NA	NA	0.784323712073492	40	0.153180438235385
"30005"	NA	NA	NA	NA	NA	NA	0.933371291485707	35	0.0978212816637803
"30006"	NA	NA	NA	NA	NA	NA	0.689979422380949	35	0.169576800242868
"30007"	NA	NA	NA	NA	NA	NA	0.810684912034078	25	0.0905867682680933
"30009"	NA	NA	NA	0.63522697268084	24	0.220678066215767	NA	NA	NA
"30010"	NA	NA	NA	0.713215235983529	25	0.137998232189516	NA	NA	NA
"30011"	0.515779748706578	6	0.114740092585367	NA	NA	NA	NA	NA	NA
"30013"	NA	NA	NA	0.55302191348703	14	0.0821374193103201	NA	NA	NA
"30014"	NA	NA	NA	0.611104347041847	16	0.144951835419773	NA	NA	NA
"30015"	0.631984478935698	9	0.189185336002484	NA	NA	NA	NA	NA	NA
"30017"	NA	NA	NA	0.671728048234391	22	0.159952017775858	NA	NA	NA
"30018"	0.624057434753417	27	0.22042327650925	NA	NA	NA	NA	NA	NA
"30019"	NA	NA	NA	0.768510251322751	24	0.219509045705745	NA	NA	NA
"30020"	NA	NA	NA	0.635639776889777	10	0.208712612204473	NA	NA	NA
"30021"	NA	NA	NA	NA	NA	NA	0.901323445073445	36	0.0919428731977488
"30022"	NA	NA	NA	NA	NA	NA	0.731440790472726	22	0.118619756081289
"30024"	0.610275424290112	19	0.219080010822574	NA	NA	NA	NA	NA	NA
"30025"	0.617401285583104	11	0.133966322238657	NA	NA	NA	NA	NA	NA
"30026"	NA	NA	NA	0.747979797979798	15	0.143630658735387	NA	NA	NA
"30027"	NA	NA	NA	NA	NA	NA	0.784281241779888	31	0.0758060530583911
"30028"	NA	NA	NA	0.57161337843156	11	0.194158945868093	NA	NA	NA
"30029"	NA	NA	NA	0.696208451036159	30	0.163900460677244	NA	NA	NA
"30031"	0.648708062770563	16	0.149536398827901	NA	NA	NA	NA	NA	NA
"30036"	NA	NA	NA	0.716353403889272	17	0.172913889729302	NA	NA	NA
"30037"	0.657529752185169	15	0.216819133805019	NA	NA	NA	NA	NA	NA
"30044"	NA	NA	NA	NA	NA	NA	0.61161677718179	32	0.0901948638600696
"30046"	0.614650974025974	16	0.187671707263713	NA	NA	NA	NA	NA	NA
"30048"	0.675203566274995	21	0.190367270044034	NA	NA	NA	NA	NA	NA
"30049"	NA	NA	NA	0.687554395288017	20	0.130947816057117	NA	NA	NA
"30050"	0.522898239971411	9	0.235306813749338	NA	NA	NA	NA	NA	NA
"30051"	0.567988406941895	13	0.1824139185949	NA	NA	NA	NA	NA	NA
"30052"	NA	NA	NA	0.556743368022438	20	0.111272842574599	NA	NA	NA
"30059"	NA	NA	NA	NA	NA	NA	0.879020492808543	36	0.0981227199547367
"30060"	NA	NA	NA	NA	NA	NA	0.978136743939589	36	0.032120536831039
"30066"	NA	NA	NA	0.649561611667027	23	0.145471554888799	NA	NA	NA
"30068"	NA	NA	NA	0.735852582327267	20	0.154701535118212	NA	NA	NA
"30069"	NA	NA	NA	NA	NA	NA	0.706594562743795	29	0.135702769355671
"30074"	NA	NA	NA	NA	NA	NA	0.947130457976488	29	0.112191560333204
"30075"	NA	NA	NA	NA	NA	NA	0.819829720615212	28	0.146109197623958
"30078"	NA	NA	NA	NA	NA	NA	0.719478797727705	31	0.0965702588381333
"30079"	NA	NA	NA	NA	NA	NA	0.716764745670996	32	0.232635524008417
"30081"	NA	NA	NA	NA	NA	NA	0.782264977432129	32	0.0830981183070567
"30085"	0.593054831004091	11	0.114207722795703	NA	NA	NA	NA	NA	NA
"30086"	0.49389623440011	9	0.185419269601601	NA	NA	NA	NA	NA	NA
"30088"	0.53059613997114	8	0.125701335735951	NA	NA	NA	NA	NA	NA
