"Sub.Num"	"Vanilla_< 27 Months_D"	"Vanilla_< 27 Months_D_n"	"Vanilla_< 27 Months_D_sd"	"Vanilla_>= 27 Months_D"	"Vanilla_>= 27 Months_D_n"	"Vanilla_>= 27 Months_D_sd"
"30009"	NA	NA	NA	1029.78947368421	19	367.435796197765
"30010"	NA	NA	NA	1252.70833333333	24	410.070882437644
"30011"	1733.25	4	320.855497069943	NA	NA	NA
"30013"	NA	NA	NA	1579.25	8	630.771806145908
"30014"	NA	NA	NA	1402.75	12	435.695082076278
"30015"	1255.5	6	288.022742157629	NA	NA	NA
"30017"	NA	NA	NA	1306.2380952381	21	462.165544449379
"30018"	893.4	25	196.643289571074	NA	NA	NA
"30019"	NA	NA	NA	949.238095238095	21	272.333601445342
"30020"	NA	NA	NA	1456.6	10	492.013820944087
"30024"	1220.46153846154	13	462.57352845874	NA	NA	NA
"30025"	1338.14285714286	7	495.698977395028	NA	NA	NA
"30026"	NA	NA	NA	1138.91666666667	12	330.977191835255
"30028"	NA	NA	NA	1154	8	337.433167986111
"30029"	NA	NA	NA	1173.82142857143	28	346.958109710927
"30031"	1307.69230769231	13	439.276371740196	NA	NA	NA
"30036"	NA	NA	NA	1208.93333333333	15	481.65747560847
"30037"	1123.23076923077	13	507.384987599186	NA	NA	NA
"30046"	1300	14	478.435913239091	NA	NA	NA
"30048"	1388.35	20	567.556468324379	NA	NA	NA
"30049"	NA	NA	NA	1262.64705882353	17	357.424632121317
"30050"	1683.5	2	306.177236253775	NA	NA	NA
"30051"	1620.875	8	374.501358952331	NA	NA	NA
"30052"	NA	NA	NA	1304.46666666667	15	389.879077712687
"30066"	NA	NA	NA	1317.52631578947	19	425.332728372226
"30068"	NA	NA	NA	1138.57894736842	19	427.530286878989
"30085"	1387.375	8	497.360156224843	NA	NA	NA
"30086"	1324	7	480.195099239188	NA	NA	NA
"30088"	1546.6	5	237.491684064937	NA	NA	NA
