"Sub.Num"	"Vanilla_< 25 Months_D"	"Vanilla_< 25 Months_D_n"	"Vanilla_< 25 Months_D_sd"	"Vanilla_> 25 Months_D"	"Vanilla_> 25 Months_D_n"	"Vanilla_> 25 Months_D_sd"	"Vanilla_Adults_D"	"Vanilla_Adults_D_n"	"Vanilla_Adults_D_sd"
"30004"	NA	NA	NA	NA	NA	NA	1075.47058823529	34	368.785002266379
"30005"	NA	NA	NA	NA	NA	NA	734.64	25	170.66631184859
"30006"	NA	NA	NA	NA	NA	NA	1188.47826086957	23	347.791979305971
"30007"	NA	NA	NA	NA	NA	NA	657.142857142857	7	113.34082608285
"30011"	1744.33333333333	3	340.288603002412	NA	NA	NA	NA	NA	NA
"30013"	NA	NA	NA	1333.25	16	415.062806492383	NA	NA	NA
"30014"	NA	NA	NA	1186.7	10	334.971657175814	NA	NA	NA
"30015"	1260	5	316.614118447046	NA	NA	NA	NA	NA	NA
"30016"	NA	NA	NA	1208.90909090909	11	390.4150239285	NA	NA	NA
"30017"	NA	NA	NA	1055.6	15	357.580919912842	NA	NA	NA
"30018"	792.928571428571	14	207.634465897575	NA	NA	NA	NA	NA	NA
"30019"	NA	NA	NA	823.588235294118	17	292.654031841253	NA	NA	NA
"30020"	NA	NA	NA	1223.85714285714	7	395.950513983515	NA	NA	NA
"30021"	NA	NA	NA	NA	NA	NA	837.228571428571	35	198.649423048019
"30022"	NA	NA	NA	NA	NA	NA	928.428571428571	14	424.787315884389
"30024"	1152.83333333333	12	518.861837159572	NA	NA	NA	NA	NA	NA
"30025"	NA	NA	NA	1255.55555555556	9	440.050596838338	NA	NA	NA
"30026"	NA	NA	NA	1166.54545454545	11	276.445786235335	NA	NA	NA
"30027"	NA	NA	NA	NA	NA	NA	753.807692307692	26	200.5450611171
"30029"	NA	NA	NA	1073.54166666667	24	361.606798123701	NA	NA	NA
"30031"	1241.66666666667	12	395.942909873113	NA	NA	NA	NA	NA	NA
"30037"	1054.45454545455	11	533.781484061852	NA	NA	NA	NA	NA	NA
"30038"	951.888888888889	9	270.511757805666	NA	NA	NA	NA	NA	NA
"30041"	1018.18181818182	11	316.278300925567	NA	NA	NA	NA	NA	NA
"30044"	NA	NA	NA	NA	NA	NA	686.6	10	158.785809609465
"30046"	1236.5	10	403.718892850514	NA	NA	NA	NA	NA	NA
"30048"	1161.33333333333	6	486.987747963608	NA	NA	NA	NA	NA	NA
"30049"	NA	NA	NA	1187.4375	16	321.792266066169	NA	NA	NA
"30051"	1446.6	5	389.040229282268	NA	NA	NA	NA	NA	NA
"30052"	NA	NA	NA	1230.58333333333	12	410.85265182928	NA	NA	NA
"30057"	NA	NA	NA	866.625	8	291.139111324564	NA	NA	NA
"30059"	NA	NA	NA	NA	NA	NA	753.807692307692	26	203.477766693223
"30060"	NA	NA	NA	NA	NA	NA	649.217391304348	23	90.8820196847335
"30065"	NA	NA	NA	NA	NA	NA	1399.9375	16	532.226702167413
"30066"	NA	NA	NA	1195.35714285714	14	289.01679672851	NA	NA	NA
"30069"	NA	NA	NA	NA	NA	NA	744.333333333333	6	346.110772248809
"30072"	NA	NA	NA	NA	NA	NA	1282.35294117647	17	436.244762314757
"30074"	NA	NA	NA	NA	NA	NA	962.375	8	422.056170093846
"30075"	NA	NA	NA	NA	NA	NA	963.2	10	414.483560858838
"30076"	NA	NA	NA	NA	NA	NA	1485.71428571429	21	500.489974210987
"30078"	NA	NA	NA	NA	NA	NA	787.153846153846	13	301.335042257464
"30079"	NA	NA	NA	NA	NA	NA	1295.28571428571	21	481.407742236988
"30081"	NA	NA	NA	NA	NA	NA	877.8	15	396.667402960501
"30085"	1150	6	332.612687671412	NA	NA	NA	NA	NA	NA
"30086"	1250	2	117.379725676967	NA	NA	NA	NA	NA	NA
"30087"	NA	NA	NA	750	2	212.132034355964	NA	NA	NA
"30088"	1300	2	46.6690475583121	NA	NA	NA	NA	NA	NA
"30090"	NA	NA	NA	1450	4	468.749399999616	NA	NA	NA
