"trial","trial_in_block","block","gate","target_image","chosen_image","chosen_img_index","correct","rt","date","id","gender","age","asl_fluency","age_learned_asl","gate_name","gate_num","gate_signer"
"1","1","1","r_love_car_3_23_6","car","car","1",TRUE,"9106","2015-05-08-11-28",20,"Female","47","2","13","r_love_car_3","6","r"
"2","2","1","r_love_cat_3_24_4","cat","cat","1",TRUE,"7606","2015-05-08-11-28",20,"Female","47","2","13","r_love_cat_3","4","r"
"3","3","1","p_shoe_hey_2_25_1","shoe","ball","0",FALSE,"18090","2015-05-08-11-28",20,"Female","47","2","13","p_shoe_hey_2","1","p"
"4","4","1","r_bear_which_1_24_2","bear","bear","0",TRUE,"10069","2015-05-08-11-28",20,"Female","47","2","13","r_bear_which_1","2","r"
"5","5","1","r_love_ball_3_18_2","ball","ball","0",TRUE,"13238","2015-05-08-11-28",20,"Female","47","2","13","r_love_ball_3","2","r"
"6","6","1","p_book_look_2_06_6","book","book","0",TRUE,"8340","2015-05-08-11-28",20,"Female","47","2","13","p_book_look_2","6","p"
"7","7","1","p_doll_find_2_03_6","doll","doll","0",TRUE,"5235","2015-05-08-11-28",20,"Female","47","2","13","p_doll_find_1","6","p"
"8","8","1","r_cat_where_4_00_3","cat","cat","1",TRUE,"7264","2015-05-08-11-28",20,"Female","47","2","13","r_cat_where_3","3","r"
"9","9","1","p_kitty_hey_3_01_2","cat","cat","1",TRUE,"6694","2015-05-08-11-28",20,"Female","47","2","13","p_kitty_hey_3","2","p"
"10","10","1","p_bear_where_1_27_3","bear","doll","0",FALSE,"5099","2015-05-08-11-28",20,"Female","47","2","13","p_bear_where_1","3","p"
"11","11","1","p_ball_where_1_24_4","ball","shoe","1",FALSE,"6804","2015-05-08-11-28",20,"Female","47","2","13","p_ball_where_1","4","p"
"12","12","1","p_bear_look_1_29_3","bear","bear","0",TRUE,"10441","2015-05-08-11-28",20,"Female","47","2","13","p_bear_look_1","3","p"
"13","13","1","p_kitty_where_2_06_4","cat","cat","0",TRUE,"7548","2015-05-08-11-28",20,"Female","47","2","13","p_kitty_where_2","4","p"
"14","14","1","r_shoes_where_3_26_1","shoe","shoe","0",TRUE,"10487","2015-05-08-11-28",20,"Female","47","2","13","r_shoes_where_3","1","r"
"15","15","1","r_bear_where_4_08_6","bear","bear","1",TRUE,"13806","2015-05-08-11-28",20,"Female","47","2","13","r_bear_where_4","6","r"
"16","16","1","r_love_doll_3_25_6","doll","doll","0",TRUE,"7814","2015-05-08-11-28",20,"Female","47","2","13","r_love_doll_3","6","r"
"17","17","1","p_shoe_where_1_22_5","shoe","shoe","1",TRUE,"5182","2015-05-08-11-28",20,"Female","47","2","13","p_shoe_where_1","5","p"
"18","18","1","p_ball_find_2_06_6","ball","ball","0",TRUE,"5689","2015-05-08-11-28",20,"Female","47","2","13","p_ball_find_2","6","p"
"19","19","1","r_love_shoes_3_14_2","shoe","ball","0",FALSE,"7677","2015-05-08-11-28",20,"Female","47","2","13","r_love_shoes_3","2","r"
"20","20","1","r_cat_which_1_27_6","cat","cat","0",TRUE,"4423","2015-05-08-11-28",20,"Female","47","2","13","r_cat_which_1","6","r"
"21","21","1","p_car_where_1_21_2","car","car","1",TRUE,"5621","2015-05-08-11-28",20,"Female","47","2","13","p_car_where_1","2","p"
"22","22","1","r_shoes_which_1_23_2","shoe","shoe","0",TRUE,"6372","2015-05-08-11-28",20,"Female","47","2","13","r_shoes_which_1","2","r"
"23","23","1","r_book_where_4_06_4","book","book","1",TRUE,"7536","2015-05-08-11-28",20,"Female","47","2","13","r_book_where_4","4","r"
"24","24","1","r_love_bird_3_19_1","bird","bird","1",TRUE,"8889","2015-05-08-11-28",20,"Female","47","2","13","r_love_bird_3","1","r"
"25","25","1","r_ball_where_4_10_5","ball","ball","1",TRUE,"7490","2015-05-08-11-28",20,"Female","47","2","13","r_ball_where_4","5","r"
"26","26","1","r_love_book_3_28_5","book","book","0",TRUE,"9370","2015-05-08-11-28",20,"Female","47","2","13","r_love_book_3","5","r"
"27","27","1","p_doll_where_1_27_4","doll","doll","0",TRUE,"5313","2015-05-08-11-28",20,"Female","47","2","13","p_doll_where_1","4","p"
"28","28","1","r_car_where_3_22_2","car","car","1",TRUE,"7230","2015-05-08-11-28",20,"Female","47","2","13","r_car_where_3","2","r"
"29","29","1","p_bird_look_1_26_3","bird","bird","0",TRUE,"5119","2015-05-08-11-28",20,"Female","47","2","13","p_bird_look_1","3","p"
"30","30","1","r_ball_which_2_01_2","ball","shoe","1",FALSE,"8672","2015-05-08-11-28",20,"Female","47","2","13","r_ball_which_2","2","r"
"31","31","1","r_book_which_1_28_2","book","book","0",TRUE,"8089","2015-05-08-11-28",20,"Female","47","2","13","r_book_which_1","2","r"
