"Sub.Num"	"vanilla"	"vanilla_n"	"vanilla_sd"
"30004"	0.754388104449568	40	0.117668453871402
"30005"	0.891179455277763	35	0.0820603145937101
"30006"	0.671988066821455	35	0.15165840737813
"30007"	0.737579204803359	25	0.0805403661873998
"30009"	0.653611544455543	24	0.204825674501028
"30010"	0.729166475208308	26	0.1324574006637
"30011"	0.539838157485216	6	0.132815234002056
"30013"	0.632314313319215	27	0.160305235800227
"30014"	0.600178093294949	17	0.114308162978097
"30015"	0.679332738907249	9	0.126109415015125
"30016"	0.601108885882776	22	0.163199847293026
"30017"	0.613126604446216	9	0.187793740085525
"30018"	0.615793712243414	27	0.163376368478829
"30019"	0.747677583626506	24	0.202848571328203
"30020"	0.659759201245703	10	0.184025734187099
"30021"	0.870024952522996	36	0.0623165235555552
"30022"	0.676372308335423	22	0.089671745996003
"30023"	0.490209074003132	16	0.090282800028735
"30024"	0.584969572693014	22	0.21726092224168
"30025"	0.374267888973771	7	0.165949694936711
"30026"	0.73189078739567	15	0.141146625772555
"30027"	0.692798041834367	31	0.0698046348430399
"30028"	0.624551025711919	13	0.146312118910978
"30029"	0.684531625146385	30	0.161671497952573
"30030"	0.710874583444254	23	0.200095835193612
"30031"	0.723466363777396	23	0.197986436455763
"30036"	0.738078022926577	20	0.104323705536463
"30037"	0.637945775325055	16	0.157775379819837
"30038"	0.577037831449596	23	0.199053754214162
"30039"	0.716285979071567	11	0.12530795866616
"30041"	0.633931333828609	17	0.148811302798388
"30042"	0.617300972643437	11	0.221746598951732
"30043"	0.553158752976458	13	0.280175146801872
"30044"	0.583351732061559	32	0.0466092179107904
"30046"	0.630868078765597	16	0.198982703136694
"30048"	0.684488000264721	23	0.163037007779468
"30050"	0.525535474498703	17	0.165400806661113
"30058"	0.553814238465325	26	0.236921488193809
"30059"	0.797384999131319	36	0.0758903655047483
"30060"	0.891698365963906	36	0.0560939162266744
