age_code,sign,mean,lower,upper,all_signs,plot_order
adults,shoe,0.4546697682190172,0.3441234501934383,0.5617898321955574,no,2
adults,car,0.46419478605369124,0.3490963397831205,0.5802273890331189,no,3
adults,birdy,0.4954034006738207,0.3797521608348036,0.6129020405318456,no,4
adults,ball,0.5081553307631543,0.39471901661700626,0.623464077147894,no,5
adults,teddy,0.5088724663566832,0.3988794539932608,0.6188868992199662,no,6
adults,kitty,0.539733526155439,0.42399302889592144,0.6578701280007763,no,7
adults,book,0.56084289437843,0.44659378368036795,0.6776366207334968,no,8
adults,all signs,0.59073529377955,0.4841145960185259,0.7001657119580414,yes,1
adults,doll,0.6605246827479472,0.5487313200877337,0.7751298423354209,no,9
children,shoe,0.8271679796320124,0.7318918826454216,0.9209118755683331,no,2
children,car,0.8366929974666864,0.736424314469221,0.9339340688810389,no,3
children,birdy,0.8679016120868158,0.7650794821356142,0.967835036139153,no,4
children,ball,0.8806535421761494,0.7832824392614745,0.9769433874240073,no,5
children,all signs,0.8808380358957908,0.7969778036277496,0.9597374882165252,yes,1
children,teddy,0.8813706777696783,0.7812625948809739,0.9778778828271322,no,6
children,kitty,0.9122317375684341,0.8074355800031146,1.0119276352361977,no,7
children,book,0.9333411057914252,0.8362825073957597,1.0321062006460473,no,8
children,doll,1.0330228941609423,0.9232565764695445,1.1442807887040811,no,9
