"Time.ms","hearing_status_participant","value_cat","mean_prop_looking","ci_low","ci_high"
"0","deaf","Distractor",0,0,0
"0","deaf","Signer",1,0,0
"0","deaf","Target",0,0,0
"0","hearing","Distractor",0,0,0
"0","hearing","Signer",1,0,0
"0","hearing","Target",0,0,0
"100","deaf","Distractor",0,0,0
"100","deaf","Signer",0.9921875,0.015625,0.0078125
"100","deaf","Target",0.0078125,0.0078125,0.015625
"100","hearing","Distractor",0.00699300699300699,0.00699300699300699,0.013986013986014
"100","hearing","Signer",0.993006993006993,0.013986013986014,0.00699300699300698
"100","hearing","Target",0,0,0
"1000","deaf","Distractor",0.0703618328158769,0.0344031387321829,0.0351158674607664
"1000","deaf","Signer",0.745127957214354,0.0873713212339131,0.0828173591879934
"1000","deaf","Target",0.184510209969769,0.0721092117645427,0.0913080409174158
"1000","hearing","Distractor",0.103328082174236,0.0469468031968032,0.049085545864392
"1000","hearing","Signer",0.673373421450345,0.101830322455322,0.0943702237933008
"1000","hearing","Target",0.223298496375419,0.0896218951988183,0.0986519143249912
"1033","deaf","Distractor",0.068963254238022,0.0300231318603997,0.0328385495599602
"1033","deaf","Signer",0.723202363619353,0.0799767401353484,0.0825824925485699
"1033","deaf","Target",0.207834382142625,0.0739293090085224,0.0957845914808231
"1033","hearing","Distractor",0.103952713952714,0.0510268897768898,0.0531070596070596
"1033","hearing","Signer",0.635078255078255,0.112832167832168,0.108675990675991
"1033","hearing","Target",0.260969030969031,0.0891948051948052,0.0946666666666667
"1067","deaf","Distractor",0.0697186174571043,0.0318400493421053,0.0341510025062657
"1067","deaf","Signer",0.697689330954134,0.0819064409411859,0.0814487205502831
"1067","deaf","Target",0.232592051588762,0.0700662902749662,0.0864776800775979
"1067","hearing","Distractor",0.107812450707188,0.0525526907303223,0.0627763420789737
"1067","hearing","Signer",0.611309479993691,0.125837458594038,0.113747338188128
"1067","hearing","Target",0.280878069299122,0.0952837162837162,0.099144999737105
"1100","deaf","Distractor",0.0699778197020844,0.0318855655425049,0.0329431336382163
"1100","deaf","Signer",0.678145652686094,0.089317285978591,0.081820909380652
"1100","deaf","Target",0.251876527611822,0.0740295128771691,0.0856147762742432
"1100","hearing","Distractor",0.108841976736714,0.0515412569886254,0.0550555555555555
"1100","hearing","Signer",0.601753550093631,0.126442350497006,0.113441675733174
"1100","hearing","Target",0.289404473169655,0.106035470377576,0.111531506954584
"1133","deaf","Distractor",0.0663983007733008,0.0318340694317257,0.0340047329695767
"1133","deaf","Signer",0.654949130730381,0.0899661579739706,0.094189783740565
"1133","deaf","Target",0.278652568496318,0.0790311944999445,0.0929131278154716
"1133","hearing","Distractor",0.111112221112221,0.0570829170829171,0.0568050838050838
"1133","hearing","Signer",0.587929421006344,0.117057286730364,0.12337455279763
"1133","hearing","Target",0.300958357881435,0.100625152625153,0.103841856861088
"1167","deaf","Distractor",0.0616780788655789,0.028193399482462,0.030574599012099
"1167","deaf","Signer",0.63898646798463,0.0930972118414674,0.0881187883807368
"1167","deaf","Target",0.299335453149791,0.0867970081389199,0.0860008377804793
"1167","hearing","Distractor",0.117240946188315,0.0628094858358016,0.063915397468029
"1167","hearing","Signer",0.568798745114535,0.122914399197294,0.124437437562438
"1167","hearing","Target",0.313960308697151,0.106838318844898,0.102931096681097
"1200","deaf","Distractor",0.0560055943690812,0.0261036511231824,0.0253729763474829
"1200","deaf","Signer",0.597040541695147,0.10357151757234,0.100234793304283
"1200","deaf","Target",0.346953863935772,0.0843772680398914,0.0921817666297519
"1200","hearing","Distractor",0.114614796967738,0.0600899100899101,0.0702613318054495
"1200","hearing","Signer",0.533086194850901,0.122151206636501,0.130959530665413
"1200","hearing","Target",0.352299008181361,0.115793397778692,0.105439462498286
"1233","deaf","Distractor",0.0586593404230788,0.0234309588840597,0.025349349760147
"1233","deaf","Signer",0.572883772520479,0.0972547420705799,0.104898643092105
"1233","deaf","Target",0.368456887056442,0.0855679071033779,0.0845756093429274
"1233","hearing","Distractor",0.118381821470549,0.062370834621474,0.0661382713620565
"1233","hearing","Signer",0.522850054179977,0.129214450079835,0.128826736852017
"1233","hearing","Target",0.358768124349474,0.122447688877455,0.117401946071285
"1267","deaf","Distractor",0.0686174123756361,0.0315305166324903,0.0333661717029316
"1267","deaf","Signer",0.549685567539186,0.0927432528409091,0.0940915330329393
"1267","deaf","Target",0.381697020085178,0.0859077250874126,0.0931562309674974
"1267","hearing","Distractor",0.113264351092198,0.0482036013185899,0.0537411977068287
"1267","hearing","Signer",0.524188652396714,0.133820330127538,0.133459447391194
"1267","hearing","Target",0.362546996511087,0.112388430600673,0.112568080059939
"1300","deaf","Distractor",0.0694189399244546,0.0317361585259104,0.0403733010249554
"1300","deaf","Signer",0.530259150571651,0.0980553594179514,0.102738446194328
"1300","deaf","Target",0.400321909503895,0.0913129898849108,0.0889284708092153
"1300","hearing","Distractor",0.117650922685248,0.0591660218119028,0.0744987030513346
"1300","hearing","Signer",0.489427836338591,0.12187306972204,0.124981956766854
"1300","hearing","Target",0.392921240976161,0.104417597086361,0.0939705342966212
"133","deaf","Distractor",0.00284090909090909,0.00284090909090909,0.00568181818181818
"133","deaf","Signer",0.989346590909091,0.0184659090909091,0.0106534090909091
"133","deaf","Target",0.0078125,0.0078125,0.015625
"133","hearing","Distractor",0.00699300699300699,0.00699300699300699,0.013986013986014
"133","hearing","Signer",0.993006993006993,0.013986013986014,0.00699300699300698
"133","hearing","Target",0,0,0
"1333","deaf","Distractor",0.0636948529411765,0.0278749781162465,0.0288410364145658
"1333","deaf","Signer",0.516023284313725,0.102191220238095,0.109887408088235
"1333","deaf","Target",0.420281862745098,0.0873551295518207,0.0884930847338935
"1333","hearing","Distractor",0.102223631069785,0.0516245773457312,0.0619193786982248
"1333","hearing","Signer",0.466521332918094,0.0999793369024138,0.104205063941906
"1333","hearing","Target",0.431255036012121,0.0824843203917091,0.0794162736723466
