"Sub.Num","Sex","Response","Tr.Num","RT","Accuracy","signs_produced","age_code","age_peek_months","hearing_status_participant","trial_types"
"30004","F","D",2,1633,0.704545454545455,NA,"adult",349,"deaf","C_T"
"30004","F","D",3,1167,0.721590909090909,NA,"adult",349,"deaf","C_T"
"30004","F","D",4,700,0.764367816091954,NA,"adult",349,"deaf","C_T"
"30004","F","D",5,833,0.674698795180723,NA,"adult",349,"deaf","C_T"
"30004","F","D",6,967,0.697530864197531,NA,"adult",349,"deaf","C_T"
"30004","F","D",7,700,0.746987951807229,NA,"adult",349,"deaf","C_T"
"30004","F","D",8,233,0.705882352941177,NA,"adult",349,"deaf","C_T"
"30004","F","D",9,933,0.636904761904762,NA,"adult",349,"deaf","C_T"
"30004","F","D",10,1800,0.682352941176471,NA,"adult",349,"deaf","C_T"
"30004","F","D",11,967,0.837078651685393,NA,"adult",349,"deaf","C_T"
"30004","F","D",12,1033,0.747058823529412,NA,"adult",349,"deaf","C_T"
"30004","F","D",13,933,0.732142857142857,NA,"adult",349,"deaf","C_T"
"30004","F","D",14,933,0.752941176470588,NA,"adult",349,"deaf","C_T"
"30004","F","D",15,1933,0.604651162790698,NA,"adult",349,"deaf","C_T"
"30004","F","D",16,2367,0.601123595505618,NA,"adult",349,"deaf","C_T"
"30004","F","D",17,NA,0.5,NA,"adult",349,"deaf","C_T"
"30004","F","D",18,NA,0.5,NA,"adult",349,"deaf","no_shift"
"30004","F","D",19,567,0.788235294117647,NA,"adult",349,"deaf","C_T"
"30004","F","D",21,1133,0.802325581395349,NA,"adult",349,"deaf","C_T"
"30004","F","D",22,1833,0.580459770114943,NA,"adult",349,"deaf","C_T"
"30004","F","D",23,767,0.666666666666667,NA,"adult",349,"deaf","C_T"
"30004","F","D",24,1200,0.723529411764706,NA,"adult",349,"deaf","C_T"
"30004","F","D",25,1000,0.726744186046512,NA,"adult",349,"deaf","C_T"
"30004","F","D",26,1233,0.752873563218391,NA,"adult",349,"deaf","C_T"
"30004","F","D",27,800,0.602409638554217,NA,"adult",349,"deaf","C_T"
"30004","F","D",28,1000,0.831460674157303,NA,"adult",349,"deaf","C_T"
"30004","F","D",29,1867,0.685393258426966,NA,"adult",349,"deaf","C_T"
"30004","F","D",30,1267,0.738636363636364,NA,"adult",349,"deaf","C_T"
"30004","F","D",31,1000,0.831460674157303,NA,"adult",349,"deaf","C_T"
"30004","F","D",32,1067,0.820224719101124,NA,"adult",349,"deaf","C_T"
"30004","F","D",34,1133,0.72289156626506,NA,"adult",349,"deaf","C_T"
"30004","F","D",35,1067,0.8125,NA,"adult",349,"deaf","C_T"
"30004","F","D",36,733,0.775862068965517,NA,"adult",349,"deaf","C_T"
"30004","F","D",37,NA,0.5,NA,"adult",349,"deaf","C_T"
