Sub.Num,age_code,age_months,signs_produced,lbq_asl_percent,native,gender,hearing_status_kid,hearing_status_parent,include ,notes
30013,child,31,81,NA,native,m,deaf,deaf,0,participated in V1
30015,child,31,70,NA,native,f,deaf,deaf,0,Fussed out
30017,child,34,73,NA,native,f,deaf,deaf,0,participated in V1
30018,child,32,NA,NA,native,m,hearing,deaf,0,"1 good trial, fussed out at trial 9"
30024,child,25,55,NA,native,m,deaf,deaf,0,participated in V1
30025,child,26,56,NA,native,f,hearing,deaf,1,NA
30028,child,37,66,NA,native,f,hearing,deaf,1,difficult to code
30030,child,26,52,NA,non-native,m,deaf,hearing,1,NA
30031,child,23,62,NA,native,m,deaf,deaf,0,participated in V1
30038,child,21,26,NA,native,f,hearing,deaf,0,only 8 good trials
30039,child,30,81,NA,native,f,deaf,deaf,0,only 11 good trials
30041,child,21,36,NA,non-native,m,deaf,hearing,1,NA
30046,child,22,72,NA,native,f,hearing,deaf,0,Fussed out
30047,child,35,66,NA,native,m,deaf,deaf,0,only 7 good trials
30048,child,19,31,NA,native,m,deaf,deaf,0,participated in V1
30049,child,33,69,NA,native,f,deaf,deaf,1,NA
30050,child,18,23,NA,native,f,hearing,deaf,1,NA
30051,child,17,52,NA,native,m,deaf,deaf,1,NA
30052,child,28,72,NA,native,f,deaf,deaf,1,NA
30057,child,29,69,NA,non-native,f,deaf,hearing,1,NA
30054,child,25,49,NA,non-native,f,deaf,hearing,1,10 good trials
30085,child,19,50,NA,native,f,deaf,deaf,1,
30086,child,20,47,NA,native,f,hearing,deaf,1,
30088,child,22,43,NA,native,f,hearing,deaf,1,enough trials?
30065,adult,500,NA,NA,NA,NA,NA,NA,1,
30070,adult,500,NA,NA,NA,NA,NA,NA,0,below chance
30069,adult,500,NA,NA,NA,NA,NA,NA,1,
30072,adult,500,NA,NA,NA,NA,NA,NA,1,
30074,adult,500,NA,NA,NA,NA,NA,NA,1,
30075,adult,500,NA,NA,NA,NA,NA,NA,1,
30077,adult,500,NA,NA,NA,NA,NA,NA,0,below chance
30076,adult,500,NA,NA,NA,NA,NA,NA,1,
30078,adult,500,NA,NA,NA,NA,NA,NA,1,
30079,adult,500,NA,NA,NA,NA,NA,NA,1,
30080,adult,500,NA,NA,NA,NA,NA,NA,1,
30081,adult,500,NA,NA,NA,NA,NA,NA,1,
30083,adult,500,NA,NA,NA,NA,NA,NA,1,
30088,adult,500,NA,NA,NA,NA,NA,NA,0,below chance
30086,adult,500,NA,NA,NA,NA,NA,NA,0,below chance
