"groupping","Time.ms","mean_accuracy","ci.high","ci.low"
"< 26.5 Months",0,0.5,0,0
"< 26.5 Months",33,0.5,0,0
"< 26.5 Months",67,0.5,0,0
"< 26.5 Months",100,0.5,0,0
"< 26.5 Months",133,0.494276556776557,0.0057234432234432,0.00869963369963372
"< 26.5 Months",167,0.494276556776557,0.0057234432234432,0.00869963369963372
"< 26.5 Months",200,0.494047619047619,0.00595238095238099,0.00892857142857151
"< 26.5 Months",233,0.497348484848485,0.0107142857142857,0.0121820887445888
"< 26.5 Months",267,0.492479742479743,0.0154567654567654,0.0214903152403152
"< 26.5 Months",300,0.492479742479743,0.015474802974803,0.0204517704517704
"< 26.5 Months",333,0.4996225996226,0.0225996225996226,0.0254567654567655
"< 26.5 Months",367,0.4996225996226,0.0233549783549784,0.0258463758463758
"< 26.5 Months",400,0.502648393273393,0.0256254162504161,0.0256254162504163
"< 26.5 Months",433,0.502648393273393,0.0258612914862916,0.0256254162504163
"< 26.5 Months",467,0.50196158008658,0.0240924873737375,0.0280438311688311
"< 26.5 Months",500,0.496600274725275,0.0268806280525032,0.0311831311050062
"< 26.5 Months",533,0.500171703296703,0.0261241796398047,0.0310782967032968
"< 26.5 Months",567,0.49809503929777,0.0234710558903051,0.0288281682865454
"< 26.5 Months",600,0.494989849853572,0.0257021983472878,0.0292740278466312
"< 26.5 Months",633,0.507269208965638,0.02476923349468,0.0299554525335776
"< 26.5 Months",667,0.509551326358049,0.0272603178071928,0.0318751372198064
"< 26.5 Months",700,0.510289576203442,0.0246019106943478,0.0309504518590653
"< 26.5 Months",733,0.516935613406202,0.028918963272955,0.0329233182783604
"< 26.5 Months",767,0.518864197592913,0.0284820814988676,0.0313557265908756
"< 26.5 Months",800,0.513276181684795,0.0326651181305856,0.0372841096665939
"< 26.5 Months",833,0.51432803987951,0.0340358422895186,0.036335363472312
"< 26.5 Months",867,0.522357169152246,0.0344034056310271,0.033834571913416
"< 26.5 Months",900,0.52905409541439,0.0415908351248424,0.0372664299548491
"< 26.5 Months",933,0.54612426264212,0.0397855443167943,0.0387219910545803
"< 26.5 Months",967,0.549537724180581,0.0428850237064523,0.0419395131158523
"< 26.5 Months",1000,0.544139575021928,0.042193516926973,0.037957295291854
"< 26.5 Months",1033,0.559086583954376,0.0378394644822401,0.0376924715157745
"< 26.5 Months",1067,0.563742207255863,0.0361650674984446,0.0396721076251013
"< 26.5 Months",1100,0.572717230831727,0.0429968350976754,0.0401476736527945
"< 26.5 Months",1133,0.571977583819689,0.0413125306710833,0.0429155110240637
"< 26.5 Months",1167,0.577696121234655,0.0455218669175436,0.0478666724096706
"< 26.5 Months",1200,0.59520686273608,0.0418660771703279,0.048640615337044
"< 26.5 Months",1233,0.597838102632357,0.0423575680272109,0.0466155769372967
"< 26.5 Months",1267,0.595433920715876,0.0493831822808563,0.0539521056820165
"< 26.5 Months",1300,0.607781041709613,0.0444412073541538,0.0466517320311964
"< 26.5 Months",1333,0.615593656882414,0.0408014432462962,0.0411655683795102
"< 26.5 Months",1367,0.639628593278803,0.0388734751622094,0.0404816093103908
"< 26.5 Months",1400,0.651881964907175,0.0345043434040283,0.0426819060957716
"< 26.5 Months",1433,0.659257623252661,0.0423954013524066,0.0425361581414174
"< 26.5 Months",1467,0.661492920052033,0.0387928085615122,0.0439065382226559
"< 26.5 Months",1500,0.66389341391691,0.0409040966865216,0.0455549287022501
"< 26.5 Months",1533,0.651593165432451,0.0442191537316069,0.0527994545745956
"< 26.5 Months",1567,0.648854208442057,0.0491663982946878,0.0587075367926277
"< 26.5 Months",1600,0.646781148356779,0.0559783721180781,0.0586068177270909
"< 26.5 Months",1633,0.652075509384223,0.0576894013647662,0.062197495394919
"< 26.5 Months",1667,0.670545320692379,0.0463896173271173,0.0520871595724537
"< 26.5 Months",1700,0.676119815641874,0.0432610837895764,0.0470186477125815
"< 26.5 Months",1733,0.671568015318015,0.0478330263486514,0.0510086267898768
"< 26.5 Months",1767,0.68083985424211,0.0396636473645401,0.0426682547776297
"< 26.5 Months",1800,0.682541615130901,0.0354836148474542,0.0378501694238301
"< 26.5 Months",1833,0.680281375370661,0.0391934107559109,0.0387978700367092
"< 26.5 Months",1867,0.676537698412698,0.0486445932539683,0.0488307178932179
"< 26.5 Months",1900,0.671979875283447,0.0524337089002266,0.0490148455215421
"< 26.5 Months",1933,0.679782304335876,0.0500712052497766,0.0510809465831789
"< 26.5 Months",1967,0.665335437205185,0.0576253698449076,0.0578937605345168
"< 26.5 Months",2000,0.669969613719614,0.0534296606171607,0.0523182199744701
"< 26.5 Months",NA,NA,58.8494208369725,51.9236481842891
"> 26.5 Months",0,0.5,0,0
"> 26.5 Months",33,0.5,0,0
"> 26.5 Months",67,0.5,0,0
"> 26.5 Months",100,0.5,0,0
"> 26.5 Months",133,0.498550724637681,0.00144927536231887,0.00289855072463774
"> 26.5 Months",167,0.498550724637681,0.00144927536231887,0.00289855072463774
"> 26.5 Months",200,0.500931677018634,0.00621118012422373,0.00527950310559011
"> 26.5 Months",233,0.500865800865801,0.00627705627705633,0.00541125541125548
"> 26.5 Months",267,0.502777777777778,0.00555555555555565,0.00277777777777777
"> 26.5 Months",300,0.502777777777778,0.00555555555555565,0.00277777777777777
"> 26.5 Months",333,0.497619047619048,0.00238095238095237,0.0047619047619048
