Sub Num	Months	Sex	Order	Tr Num	Prescreen Notes	L-image	C-Image	R-image	Target Side	Target Image	Condition	Response	First Shift Gap	RT	CritOnSet	CritOffSet	F0	F33	F67	F100	F133	F167	F200	F233	F267	F300	F333	F367	F400	F433	F467	F500	F533	F567	F600	F633	F667	F700	F733	F767	F800	F833	F867	F900	F933	F967	F1000	F1033	F1067	F1100	F1133	F1167	F1200	F1233	F1267	F1300	F1333	F1367	F1400	F1433	F1467	F1500	F1533	F1567	F1600	F1633	F1667	F1700	F1733	F1767	F1800	F1833	F1867	F1900	F1933	F1967	F2000	F2033	F2067	F2100	F2133	F2167	F2200	F2233	F2267	F2300	F2333	F2367	F2400	F2433	F2467	F2500	F2533	F2567	F2600	F2633	F2667	F2700	F2733	F2767	F2800	F2833	F2867	F2900	F2933	F2967	F3000	F3033	F3066	F3099	F3132	F3165	F3198	F3231	F3264	F3297	F3330	F3363	F3396	F3429	F3462	F3495	F3528	F3561	F3594	F3627	F3660	F3693	F3726	F3759	F3792	F3825	F3858	F3891	F3924	F3957	F3990	F4023	F4056	F4089	F4122	F4155	F4188	F4221	F4254	F4287	F4320	F4353	F4386	F4419	F4452	F4485	F4518	F4551	F4584	F4617	F4650	F4683	F4716	F4749	F4782	F4815	F4848	F4881	F4914	F4947	F4980	F5013			
30013	31	M	sol-vanilla-2-2-good	2		teddy1R.pct	NA	doll1L.pct	r	doll1L.pct	vanilla	C	2	2800	1759	8000	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	.	.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	.	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5			
30013	31	M	sol-vanilla-2-2-good	3		car1R.pct	NA	book1L.pct	l	car1R.pct	vanilla	C	2	2300	3759	8000	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	.	.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	.	.	0	0	0	0																																									
30013	31	M	sol-vanilla-2-2-good	4	Parent Interfering	shoe1R.pct	NA	ball1L.pct	r	ball1L.pct	vanilla	A			3726	8000																																																																																																																																																											
30013	31	M	sol-vanilla-2-2-good	5	Parent Interfering	teddy3.pct	NA	doll2L.pct	l	teddy3.pct	vanilla	A			1825	8000	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																																																																											
30013	31	M	sol-vanilla-2-2-good	6	Parent Interfering	birdy1R.pct	NA	kitty1L.pct	l	birdy1R.pct	vanilla	A			3792	8000																																																																																																																																																											
30013	31	M	sol-vanilla-2-2-good	7		car2R.pct	NA	book2L.pct	r	book2L.pct	vanilla	C	1	2867	4231	8000	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																					
30013	31	M	sol-vanilla-2-2-good	8	Inattentive	birdy2R.pct	NA	kitty2L.pct	r	kitty2L.pct	vanilla	A			1792	8000	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																																																																										
30013	31	M	sol-vanilla-2-2-good	9	Parent Interfering	shoe3R.pct	NA	ball3L.pct	l	shoe3R.pct	vanilla	A			3495	8000																																																																																																																																																											
30013	31	M	sol-vanilla-2-2-good	11	Inattentive	book3R.pct	NA	car3L.pct	l	book3R.pct	vanilla	A			1924	8000	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																																																																														
30013	31	M	sol-vanilla-2-2-good	12		kitty3R.pct	NA	birdy3L.pct	l	kitty3R.pct	vanilla	C	1	1200	4066	8000	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	.	1	1	1	1	1	1	1	1	1	1	1	1	.	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	.	.	.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	.	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5			
